model,score,hyperparameters,split,id_accuracy,id_macro_f1,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
LOF,negative_score_samples,"k=20, metric=euclidean",Far-OOD,,,0.9916453889233234,0.9945586485667371,0.02943548387096774,1.7730624675750732,0.9802464967077494,0.9733445096395641,0.9872470668253699,0.9872470668253699,0.06411290322580646,0.9720129171151776,0.9615670817997817,0.9231341635995635,2321,159,75,5806
LOF,negative_score_samples,"k=50, metric=euclidean",Overall,,,0.9312610802226984,0.9761246430214361,0.3,1.1209677457809448,0.9345066847182264,0.9027792915531335,0.9685453695042096,0.9685453695042096,0.3596774193548387,0.8947606961566352,0.8044339750746854,0.6088679501493708,1588,892,269,8283
LOF,negative_score_samples,"k=50, metric=euclidean",Near-OOD,,,0.8229441673409741,0.770271830432235,0.47096774193548385,1.1209677457809448,0.8061651867984587,0.7295330503335354,0.9007862223886185,0.9007862223886185,0.3596774193548387,0.7753834206950107,0.7705544015168899,0.5411088030337798,1588,892,265,2406
LOF,negative_score_samples,"k=50, metric=euclidean",Far-OOD,,,0.9804558556532518,0.9885296819129873,0.0625,1.6253292560577393,0.97058577055225,0.9568737607402512,0.9846964801904438,0.9846964801904438,0.10524193548387097,0.9580193756727664,0.9397272723532863,0.8794545447065728,2219,261,90,5791
LOF,negative_score_samples,"k=100, metric=euclidean",Overall,,,0.9219446403784062,0.9716657867380543,0.3495967741935484,1.0457806587219238,0.9273091221046611,0.9075338632038509,0.9479653882132835,0.9479653882132835,0.33306451612903226,0.8847897026831038,0.8074504360421256,0.6149008720842513,1654,826,445,8107
LOF,negative_score_samples,"k=100, metric=euclidean",Near-OOD,,,0.8092379621019069,0.7722809435394493,0.5495967741935484,1.0457806587219238,0.7787672428845818,0.7297120418848168,0.8348932983901161,0.8348932983901161,0.33306451612903226,0.7540283440108717,0.7509143911305419,0.5018287822610839,1654,826,441,2230
LOF,negative_score_samples,"k=100, metric=euclidean",Far-OOD,,,0.9731331351372108,0.982890014237605,0.09153225806451613,1.2637038230895996,0.9653164767528903,0.9448062520351677,0.9867369494983846,0.9867369494983846,0.13669354838709677,0.9501255830642268,0.9250217005556439,0.8500434011112878,2141,339,78,5803
LOF,negative_score_samples,"k=20, metric=cosine",Overall,,,0.9349811117565406,0.9790715099769798,0.3419354838709677,1.354616403579712,0.9278093076049944,0.9014115571239524,0.955799812909261,0.955799812909261,0.3604838709677419,0.8846990572878898,0.7976579709707595,0.595315941941519,1586,894,378,8174
LOF,negative_score_samples,"k=20, metric=cosine",Near-OOD,,,0.8128795244018793,0.7786211592496569,0.5419354838709678,1.2745935916900635,0.7851973684210526,0.7002053388090349,0.8936727817296892,0.8936727817296892,0.4120967741935484,0.7464569986410405,0.7407880037680704,0.4815760075361408,1458,1022,284,2387
LOF,negative_score_samples,"k=20, metric=cosine",Far-OOD,,,0.9904365342738506,0.9939801736965805,0.03306451612903226,3.259300708770752,0.9783323497175618,0.9702341137123746,0.9865669103893896,0.9865669103893896,0.0717741935483871,0.9692620499940199,0.9573963584205012,0.9147927168410025,2302,178,79,5802
