model,score,split,id_accuracy,id_macro_f1,has_raw_decision_scores,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,tn,fp,fn,tp
QDA,Margin,Overall,0.9125,0.9125631203614376,True,0.5073420856091012,0.7786465087392573,1.0,0.0,0.8733660130718954,0.7751994198694706,1.0,1.0,1.0,0.7751994198694706,0,2480,0,8552
QDA,Margin,Near-OOD,0.9125,0.9125631203614376,True,0.5572533091387786,0.5602667172681257,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0,2480,0,2671
QDA,Margin,Far-OOD,0.9125,0.9125631203614376,True,0.48467368260829025,0.6963092752674916,1.0,0.0,0.8258671534896784,0.7033847625882071,1.0,1.0,1.0,0.7033847625882071,0,2480,0,5881
QDA,MaxLogit,Overall,0.9125,0.9125631203614376,True,0.9542721095235221,0.9862484909262715,0.2754032258064516,-71.75105485927452,0.937786583639966,0.9089213211895095,0.9685453695042096,0.9685453695042096,0.3346774193548387,0.9003807106598984,1650,830,269,8283
QDA,MaxLogit,Near-OOD,0.9125,0.9125631203614376,True,0.8602855037982633,0.8395770024729101,0.44475806451612904,-73.48563458758808,0.8144295302013422,0.7379142596533901,0.9086484462748035,0.9086484462748035,0.34758064516129034,0.7852844107940206,1618,862,244,2427
QDA,MaxLogit,Far-OOD,0.9125,0.9125631203614376,True,0.9969584254378507,0.9983510236446446,0.010483870967741936,142.48927044855927,0.989503978330794,0.9851677060509018,0.9938785920761776,0.9938785920761776,0.035483870967741936,0.9851692381294104,2392,88,36,5845
QDA,Energy,Overall,0.9125,0.9125631203614376,True,0.9542691390808413,0.9862476703150315,0.2754032258064516,-72.22708359714817,0.9378288171069752,0.9083835616438356,0.9692469597754911,0.9692469597754911,0.3370967741935484,0.9003807106598984,1644,836,263,8289
QDA,Energy,Near-OOD,0.9125,0.9125631203614376,True,0.8602759930435623,0.8395691527413364,0.44475806451612904,-73.48563458758808,0.8144295302013422,0.7379142596533901,0.9086484462748035,0.9086484462748035,0.34758064516129034,0.7852844107940206,1618,862,244,2427
QDA,Energy,Far-OOD,0.9125,0.9125631203614376,True,0.9969584254378507,0.9983510236446446,0.010483870967741936,142.48927044855927,0.989503978330794,0.9851677060509018,0.9938785920761776,0.9938785920761776,0.035483870967741936,0.9851692381294104,2392,88,36,5845
LOF baseline,negative_score_samples,Overall,,,False,0.9360724901173842,0.9795476087949104,0.34274193548387094,1.1418097019195557,0.9278129236330773,0.8973994755244755,0.9603601496725912,0.9603601496725912,0.3786290322580645,0.8841551849166063,1541,939,339,8213
LOF baseline,negative_score_samples,Near-OOD,,,False,0.8137122438134805,0.781843869197189,0.5419354838709678,1.1265690326690674,0.7857497928748964,0.7048156956004756,0.8876825159116436,0.8876825159116436,0.4004032258064516,0.7489807804309843,1487,993,300,2371
LOF baseline,negative_score_samples,Far-OOD,,,False,0.9916453889233234,0.9945586485667371,0.02943548387096774,1.7730624675750732,0.9802464967077494,0.9733445096395641,0.9872470668253699,0.9872470668253699,0.06411290322580646,0.9720129171151776,2321,159,75,5806
IsolationForest baseline,negative_decision_function,Overall,,,False,0.7990223943088205,0.9271155436154022,0.692741935483871,-0.03485098176292656,0.8846462377667255,0.8151177687986597,0.9671421889616464,0.9671421889616464,0.7564516129032258,0.8044778825235678,604,1876,281,8271
IsolationForest baseline,negative_decision_function,Near-OOD,,,False,0.6213297544715644,0.6284567570977677,0.8451612903225807,-0.03732183784598703,0.6966726494546459,0.5518372703412073,0.9445900411830775,0.9445900411830775,0.8262096774193548,0.5734808774995147,431,2049,148,2523
IsolationForest baseline,negative_decision_function,Far-OOD,,,False,0.8797258530752395,0.9361597180200292,0.43306451612903224,-0.02673934483617657,0.8913112667091024,0.8375953342305967,0.9523890494813807,0.9523890494813807,0.43790322580645163,0.8366224135868915,1394,1086,280,5601
