experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_source,model_key,score_seconds
experiment1_overall_comparison,Distance/support/density,PCA reconstruction,reconstruction_mse,"n_components=256, threshold_percentile=95",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9985036642855672,0.9993407344741212,0.005544354838709678,0.00011493370402604342,0.9157494886529658,0.8445921667265541,1.0,1.0,0.43598790322580644,0.8706058339566193,0.7820060483870968,1119,865,0,4701,0.001528874970972538,loaded,pca_reconstruction,0.0045465826988220215
experiment1_overall_comparison,Anomaly detection,Isolation Forest,negative_decision_function,"n_estimators=200, contamination=auto",validation_best_f1,validation,Overall,2209,496,1713,0.8014624879950285,0.9247540629513168,0.6673387096774194,-0.031851526349782944,0.889132821075741,0.8389435525634387,0.9457092819614711,0.9457092819614711,0.6270161290322581,0.8171118153010412,0.6593465764646065,185,311,93,1620,0.0051344577223062515,loaded,isolation_forest,
experiment1_overall_comparison,Anomaly detection,Isolation Forest,negative_decision_function,"n_estimators=200, contamination=auto",validation_best_f1,validation,Near-OOD,1029,496,533,0.6362229921927011,0.6309742164682101,0.844758064516129,-0.031851526349782944,0.6904577191621412,0.5886243386243386,0.8348968105065666,0.8348968105065666,0.6270161290322581,0.6122448979591837,0.6039403407371543,185,311,88,445,0.0051344577223062515,loaded,isolation_forest,
experiment1_overall_comparison,Anomaly detection,Isolation Forest,negative_decision_function,"n_estimators=200, contamination=auto",validation_best_f1,validation,Far-OOD,1676,496,1180,0.8761003280481137,0.9306673418948215,0.42338709677419356,-0.031851526349782944,0.881470367591898,0.7907133243606999,0.9957627118644068,0.9957627118644068,0.6270161290322581,0.8114558472553699,0.6843732914160744,185,311,5,1175,0.0051344577223062515,loaded,isolation_forest,
experiment1_overall_comparison,Anomaly detection,Isolation Forest,negative_decision_function,"n_estimators=200, contamination=auto",validation_best_f1,eval,Overall,8823,1984,6839,0.7984874757675382,0.9277443553148836,0.6985887096774194,-0.031851526349782944,0.8805949593719873,0.8322269946635429,0.9349320076034507,0.9349320076034507,0.6496975806451613,0.8034682080924855,0.6426172134791447,695,1289,445,6394,0.0051344577223062515,loaded,isolation_forest,0.07879612501710653
experiment1_overall_comparison,Anomaly detection,Isolation Forest,negative_decision_function,"n_estimators=200, contamination=auto",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.6176575843417121,0.6282351051064061,0.8452620967741935,-0.031851526349782944,0.6727343144848954,0.5740251156642432,0.8124415341440598,0.8124415341440598,0.6496975806451613,0.5900048520135857,0.5813719767494493,695,1289,401,1737,0.0051344577223062515,loaded,isolation_forest,0.07879612501710653
experiment1_overall_comparison,Anomaly detection,Isolation Forest,negative_decision_function,"n_estimators=200, contamination=auto",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.8807283410873459,0.9376026135713724,0.43598790322580644,-0.031851526349782944,0.8748004132619517,0.7832156071308443,0.9906402893001489,0.9906402893001489,0.6496975806451613,0.8005983545250561,0.6704713543274938,695,1289,44,4657,0.0051344577223062515,loaded,isolation_forest,0.07879612501710653
experiment1_overall_comparison,Anomaly detection,Local Outlier Factor,negative_score_samples,"n_neighbors=20, novelty=True",validation_best_f1,validation,Overall,2209,496,1713,0.9399916200591305,0.9803098326644346,0.3245967741935484,1.1408424377441406,0.9300877441268044,0.9027472527472528,0.9591360186806772,0.9591360186806772,0.35685483870967744,0.8881846989588049,0.8011405899855,319,177,70,1643,0.0037369579076766968,loaded,lof,
experiment1_overall_comparison,Anomaly detection,Local Outlier Factor,negative_score_samples,"n_neighbors=20, novelty=True",validation_best_f1,validation,Near-OOD,1029,496,533,0.8248086001331478,0.7995745384726629,0.5181451612903226,1.1408424377441406,0.7894288150042625,0.7234375,0.8686679174484052,0.8686679174484052,0.35685483870967744,0.7599611273080661,0.7559065393693639,319,177,70,463,0.0037369579076766968,loaded,lof,
experiment1_overall_comparison,Anomaly detection,Local Outlier Factor,negative_score_samples,"n_neighbors=20, novelty=True",validation_best_f1,validation,Far-OOD,1676,496,1180,0.9920192044833241,0.9939992285780329,0.028225806451612902,1.1408424377441406,0.9302325581395349,0.8695652173913043,1.0,1.0,0.35685483870967744,0.8943914081145584,0.8215725806451613,319,177,0,1180,0.0037369579076766968,loaded,lof,
experiment1_overall_comparison,Anomaly detection,Local Outlier Factor,negative_score_samples,"n_neighbors=20, novelty=True",validation_best_f1,eval,Overall,8823,1984,6839,0.9350694206967629,0.9793558852959641,0.34475806451612906,1.1408424377441406,0.9271252204585538,0.8957197382769901,0.9608129843544377,0.9608129843544377,0.3855846774193548,0.8829196418451773,0.7876141534675414,1219,765,268,6571,0.0037369579076766968,loaded,lof,0.33508795918896794
experiment1_overall_comparison,Anomaly detection,Local Outlier Factor,negative_score_samples,"n_neighbors=20, novelty=True",validation_best_f1,eval,Near-OOD,4122,1984,2138,0.8109161175276866,0.7774379702144869,0.545866935483871,1.1408424377441406,0.783574271946365,0.7096774193548387,0.8746492048643593,0.8746492048643593,0.3855846774193548,0.7493934983017952,0.7445322637225023,1219,765,268,1870,0.0037369579076766968,loaded,lof,0.33508795918896794
experiment1_overall_comparison,Anomaly detection,Local Outlier Factor,negative_score_samples,"n_neighbors=20, novelty=True",validation_best_f1,eval,Far-OOD,6685,1984,4701,0.9915339521103952,0.9947022921054349,0.029233870967741934,1.1408424377441406,0.9247565653585128,0.8600439077936334,1.0,1.0,0.3855846774193548,0.8855646970830217,0.8072076612903225,1219,765,0,4701,0.0037369579076766968,loaded,lof,0.33508795918896794
experiment1_overall_comparison,Classifier-output scoring,Logistic Regression + MSP,MSP,default classifier settings,validation_best_f1,validation,Overall,2209,496,1713,0.9061387774701994,0.9697811156163597,0.4334677419354839,0.05489182472229004,0.9176604202157865,0.8933112216694307,0.9433741973146527,0.9433741973146527,0.38911290322580644,0.8687188773200544,0.777130647044423,303,193,97,1616,0.0014898329973220825,loaded,lr_msp,
experiment1_overall_comparison,Classifier-output scoring,Logistic Regression + MSP,MSP,default classifier settings,validation_best_f1,validation,Near-OOD,1029,496,533,0.813230042970405,0.7979599229260126,0.5987903225806451,0.05489182472229004,0.776748104465038,0.7048929663608563,0.8649155722326454,0.8649155722326454,0.38911290322580644,0.7424684159378037,0.7379013345034194,303,193,72,461,0.0014898329973220825,loaded,lr_msp,
