split,method,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,youden_j,tn,fp,fn,tp
Near-OOD,lr_energy,0.8092012022801658,0.8004103190317245,0.6512096774193549,-9.941099166870117,0.7748472177549051,0.6791654919650408,0.901909397229502,0.901909397229502,0.4588709677419355,0.72820811492914,0.7215192147437832,0.44303842948756655,1342,1138,262,2409
Near-OOD,mlp_msp,0.7608569039021269,0.7620719856092172,0.7685483870967742,1.0132789611816406e-05,0.7280388978930308,0.6418976850528723,0.8408835642081617,0.8408835642081617,0.505241935483871,0.6742380120364978,0.6678208143621454,0.3356416287242907,1227,1253,425,2246
Near-OOD,mlp_entropy,0.760813577130711,0.7624474440643112,0.7592741935483871,0.00013697445683646947,0.7282749675745784,0.6422647983986274,0.8408835642081617,0.8408835642081617,0.5044354838709677,0.6746262861580276,0.6682240401685969,0.336448080337194,1229,1251,425,2246
Near-OOD,mlp_margin,0.7615126176012368,0.7605537607851198,0.7556451612903226,1.7583370208740234e-05,0.728130081300813,0.643575740155217,0.8382628229127668,0.8382628229127668,0.5,0.6754028344010872,0.6691314114563833,0.33826282291276677,1240,1240,432,2239
Near-OOD,mlp_maxlogit,0.7608569039021269,0.7620719856092172,0.7685483870967742,1.0132840543519706e-05,0.7280388978930308,0.6418976850528723,0.8408835642081617,0.8408835642081617,0.505241935483871,0.6742380120364978,0.6678208143621454,0.3356416287242907,1227,1253,425,2246
Near-OOD,gnb_msp,0.6535852525935677,0.6392648261307494,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0.5,0.0,0,2480,0,2671
Near-OOD,gnb_entropy,0.7677653349597228,0.738669223558919,0.7068548387096775,6.319644188876594e-39,0.7484498072733367,0.6774878640776699,0.8360164732309996,0.8360164732309996,0.42862903225806454,0.7086002717918851,0.7036937204864675,0.40738744097293506,1417,1063,438,2233
Near-OOD,gnb_margin,0.6712457428050385,0.6535673999257086,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0.5,0.0,0,2480,0,2671
Near-OOD,gnb_maxlogit,0.6535852525935677,0.6392648261307494,1.0,-0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0.5,0.0,0,2480,0,2671
Near-OOD,lda_msp,0.5949482796101496,0.5868200449419902,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0.5,0.0,0,2480,0,2671
Near-OOD,lda_entropy,0.7456057293994034,0.7046729215724343,0.6366935483870968,3.143019228713206e-124,0.753168202764977,0.6119822139012403,0.9790340696368401,0.9790340696368401,0.6685483870967742,0.6672490778489614,0.655242841270033,0.3104856825400659,822,1658,56,2615
Near-OOD,lda_margin,0.5970185293655874,0.588086751541069,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0.5,0.0,0,2480,0,2671
Near-OOD,lda_maxlogit,0.8131257472735837,0.816237920594502,0.7487903225806452,-242.64238648996238,0.7596017069701281,0.7233322045377583,0.7997004867090978,0.7997004867090978,0.3294354838709677,0.7375266938458551,0.735132501419065,0.47026500283813005,1663,817,535,2136
Near-OOD,lda_energy,0.8131246905230614,0.8162363966165342,0.7487903225806452,-242.64238648996238,0.7596017069701281,0.7233322045377583,0.7997004867090978,0.7997004867090978,0.3294354838709677,0.7375266938458551,0.735132501419065,0.47026500283813005,1663,817,535,2136
Near-OOD,qda_msp,0.5562478110167751,0.5594000037640353,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0.5,0.0,0,2480,0,2671
Near-OOD,qda_entropy,0.6872286415623,0.64416253110047,0.6907258064516129,2.8455127654294656e-113,0.7376924249352232,0.622107969151671,0.9060277049794084,0.9060277049794084,0.592741935483871,0.665890118423607,0.6566428847477688,0.31328576949553744,1010,1470,251,2420
Near-OOD,qda_margin,0.5572533091387786,0.5602667172681257,1.0,0.0,0.6829455382255177,0.518540089303048,1.0,1.0,1.0,0.518540089303048,0.5,0.0,0,2480,0,2671
Near-OOD,qda_maxlogit,0.8602855037982633,0.8395770024729101,0.44475806451612904,-73.48563458758808,0.8144295302013422,0.7379142596533901,0.9086484462748035,0.9086484462748035,0.34758064516129034,0.7852844107940206,0.7805339005567566,0.5610678011135131,1618,862,244,2427
Near-OOD,qda_energy,0.8602759930435623,0.8395691527413364,0.44475806451612904,-73.48563458758808,0.8144295302013422,0.7379142596533901,0.9086484462748035,0.9086484462748035,0.34758064516129034,0.7852844107940206,0.7805339005567566,0.5610678011135131,1618,862,244,2427
