model,score,threshold_source,id_percentile,threshold,accuracy,balanced_acc,f1,precision,recall_tpr,fpr,specificity,youden_j,tn,fp,fn,tp
LR,Energy,id_percentile,85,-8.993979454040527,0.8458121827411168,0.8472988774555659,0.8946553539357156,0.9510204081632653,0.8445977549111319,0.15,0.85,0.6945977549111318,2108,372,1329,7223
LR,Energy,id_percentile,90,-8.62768268585205,0.8246011602610588,0.8513681010289991,0.8764762208745611,0.9651342612118656,0.8027362020579981,0.1,0.9,0.7027362020579981,2232,248,1687,6865
LR,Energy,id_percentile,92.5,-8.469131469726562,0.817168237853517,0.8554490177736203,0.8695258425512646,0.9730707977414218,0.7858980355472404,0.075,0.925,0.7108980355472404,2294,186,1831,6721
LR,Energy,id_percentile,95,-8.234790802001953,0.8060188542422045,0.857132834424696,0.8593215882198264,0.9813813813813814,0.764265668849392,0.05,0.95,0.7142656688493919,2356,124,2016,6536
LR,Energy,id_percentile,97.5,-7.814337253570557,0.7740210297316896,0.8453695042095416,0.8308109942314218,0.9899725052563481,0.7157390084190832,0.025,0.975,0.6907390084190832,2418,62,2431,6121
LR,Energy,id_percentile,99,-7.214321136474609,0.7152828136330674,0.8127800703099067,0.7758509955041747,0.9954220838674236,0.6356407857811038,0.010080645161290322,0.9899193548387096,0.6255601406198135,2455,25,3116,5436
MLP,MSP,id_percentile,50,1.0967254638671875e-05,0.8427302393038434,0.7209162542623495,0.9028065654585178,0.8665447897623401,0.9422357343311506,0.5004032258064516,0.49959677419354837,0.441832508524699,1239,1241,494,8058
MLP,MSP,id_percentile,60,4.947186971548945e-05,0.8416424945612763,0.7558582787652011,0.8992560982642293,0.8871316418250086,0.9117165575304023,0.4,0.6,0.5117165575304022,1488,992,755,7797
MLP,MSP,id_percentile,70,0.00022341011208482087,0.8347534445250181,0.7869153414405987,0.8912874947820383,0.9094560058415481,0.8738306828811974,0.3,0.7,0.5738306828811974,1736,744,1079,7473
MLP,MSP,id_percentile,80,0.001892519067041576,0.7931472081218274,0.7955799812909261,0.8556974832426963,0.9316992564031947,0.7911599625818522,0.2,0.8,0.5911599625818522,1984,496,1786,6766
MLP,MSP,id_percentile,85,0.005997721571475267,0.7527193618564177,0.7872544434050515,0.8195767195767196,0.9433617539585871,0.724508886810103,0.15,0.85,0.5745088868101029,2108,372,2356,6196
MLP,MSP,id_percentile,90,0.020961271598935127,0.6896301667875272,0.764312441534144,0.7584650112866818,0.9559032716927454,0.6286248830682881,0.1,0.9,0.5286248830682881,2232,248,3176,5376
MLP,MSP,id_percentile,92.5,0.04811223968863487,0.633339376359681,0.7368802619270347,0.6988310624674261,0.9618774339003894,0.5487605238540693,0.075,0.925,0.47376052385406925,2294,186,3859,4693
MLP,MSP,id_percentile,95,0.10921582579612732,0.5571972443799855,0.6966440598690364,0.6081655570706666,0.9683269476372924,0.44328811973807297,0.05,0.95,0.393288119738073,2356,124,4761,3791
MLP,MSP,id_percentile,97.5,0.27434876561164856,0.43627628716461203,0.6275257249766136,0.43509855572713235,0.9747659747659748,0.28005144995322734,0.025,0.975,0.2550514499532273,2418,62,6157,2395
MLP,MSP,id_percentile,99,0.40300652384757996,0.3582306018854242,0.5824830637617309,0.29720071471113757,0.9835742444152431,0.1750467726847521,0.010080645161290322,0.9899193548387096,0.1649661275234618,2455,25,7055,1497
MLP,Entropy,id_percentile,50,0.0001466802932554856,0.8423676577229877,0.7208255378858747,0.902549733818997,0.8665662326482299,0.9416510757717493,0.5,0.5,0.44165107577174934,1240,1240,499,8053
